model,cond,acc,ci_low,ci_high
vonenet_r_ecoset,complete,0.5583333333333326,0.5479385646771338,0.5687281019895314
vonenet_r_stylized-ecoset,complete,0.5220634920634921,0.5126157830795984,0.5315112010473858
vonenet_ff_ecoset,complete,0.5221428571428568,0.5108436687138949,0.5334420455718187
vonenet_ff_stylized-ecoset,complete,0.5401587301587301,0.5292075848754006,0.5511098754420595
vonecornet_s,complete,0.513174603174603,0.5037392253686213,0.5226099809805846
cornet_s,complete,0.5324603174603169,0.5227608716389678,0.5421597632816659
voneresnet,complete,0.5269047619047619,0.5165630638506573,0.5372464599588664
vit,complete,0.5710317460317462,0.5575317728227583,0.5845317192407341
convnext,complete,0.6242063492063479,0.6101417042656424,0.6382709941470533
resnet50,complete,0.6219841269841268,0.6038603142539573,0.6401079397142962
resnext50,complete,0.6392063492063486,0.624053005473807,0.6543596929388901
alexnet,complete,0.5686507936507932,0.5561356520510149,0.5811659352505715
vgg19,complete,0.5625396825396826,0.5489218539135915,0.5761575111657736
ShapeNet,complete,0.5375396825396817,0.5281948134201019,0.5468845516592614
SayCam,complete,0.5280952380952383,0.5165036355055763,0.5396868406849002
3yrold_fast,complete,0.7094706276922551,0.6184767253365694,0.8004645300479408
3yrold_slow,complete,0.8391865079365081,0.7718470685402354,0.9065259473327807
4yrold_fast,complete,0.7202974095640117,0.5964265048536165,0.8441683142744069
4yrold_slow,complete,0.861379647755533,0.7644036621714408,0.9583556333396251
5yrold_fast,complete,0.8322727827949723,0.7596059564922137,0.9049396090977309
5yrold_slow,complete,0.9337535014005602,0.8892507556744522,0.9782562471266683
vonenet_r_ecoset,perturbed,0.5423015873015874,0.5318534648710461,0.5527497097321287
vonenet_r_stylized-ecoset,perturbed,0.5269047619047618,0.5172420624381044,0.5365674613714191
vonenet_ff_ecoset,perturbed,0.5278571428571427,0.5159516935819911,0.5397625921322943
vonenet_ff_stylized-ecoset,perturbed,0.5352380952380954,0.523805566948826,0.5466706235273648
vonecornet_s,perturbed,0.5167460317460308,0.5069938575706906,0.5264982059213711
cornet_s,perturbed,0.5317460317460313,0.5220812376870337,0.5414108258050289
voneresnet,perturbed,0.5409523809523807,0.5308663491870205,0.551038412717741
vit,perturbed,0.5748412698412699,0.5605573931460132,0.5891251465365267
convnext,perturbed,0.5907936507936494,0.5786239414693048,0.602963360117994
resnet50,perturbed,0.6626190476190478,0.6461275408946077,0.6791105543434879
resnext50,perturbed,0.5859523809523804,0.5688858260560016,0.6030189358487593
alexnet,perturbed,0.5544444444444441,0.5439697332536391,0.5649191556352491
vgg19,perturbed,0.5315873015873013,0.5212017567801619,0.5419728463944407
ShapeNet,perturbed,0.5428571428571419,0.5331065647442877,0.5526077209699961
SayCam,perturbed,0.5415079365079357,0.5308995336358208,0.5521163393800507
3yrold_fast,perturbed,0.5750761774629403,0.4397532502912867,0.7103991046345939
3yrold_slow,perturbed,0.7411523376174173,0.6068891444608124,0.8754155307740221
4yrold_fast,perturbed,0.7955191407856849,0.7317770040265481,0.8592612775448216
4yrold_slow,perturbed,0.8922123015873016,0.8447929463130085,0.9396316568615947
5yrold_fast,perturbed,0.8348828370791085,0.7520988143243011,0.9176668598339158
5yrold_slow,perturbed,0.8969797810055482,0.8442437839672579,0.9497157780438386
vonenet_r_ecoset,deleted,0.5584920634920629,0.5479916723073093,0.5689924546768166
vonenet_r_stylized-ecoset,deleted,0.5321428571428566,0.5230663932128927,0.5412193210728204
vonenet_ff_ecoset,deleted,0.5302380952380955,0.518156985547766,0.542319204928425
vonenet_ff_stylized-ecoset,deleted,0.5266666666666666,0.5161715209075762,0.537161812425757
vonecornet_s,deleted,0.5130158730158727,0.5033775741894989,0.5226541718422465
cornet_s,deleted,0.5207936507936505,0.5104716923720234,0.5311156092152776
voneresnet,deleted,0.5310317460317452,0.5212151185158429,0.5408483735476475
vit,deleted,0.5643650793650792,0.5517231652584152,0.5770069934717431
convnext,deleted,0.6145238095238084,0.6001996398506688,0.6288479791969479
resnet50,deleted,0.5380158730158732,0.5198250011801332,0.5562067448516131
resnext50,deleted,0.6331746031746024,0.6174393661919041,0.6489098401573007
alexnet,deleted,0.5785714285714275,0.5660845016146243,0.5910583555282307
vgg19,deleted,0.5706349206349204,0.5552424957108684,0.5860273455589724
ShapeNet,deleted,0.5168253968253969,0.5069177788792146,0.5267330147715791
SayCam,deleted,0.5251587301587303,0.5140740126868774,0.5362434476305832
3yrold_fast,deleted,0.4894462305543669,0.36959581716140155,0.6092966439473323
3yrold_slow,deleted,0.5546282125220198,0.4640317047578584,0.6452247202861812
4yrold_fast,deleted,0.7144664469001432,0.6537682968403906,0.7751645969598957
4yrold_slow,deleted,0.8256392045454546,0.7619235162638257,0.8893548928270835
5yrold_fast,deleted,0.6576308693760513,0.5450502588090231,0.7702114799430795
5yrold_slow,deleted,0.7813922205269713,0.6904575226707257,0.872326918383217
