model,classifier,train_ims,condition,acc,ci,ci_low,ci_high
vonenet_ff_ecoset,NC,300,IC,0.5661904761904762,0.015863177584459785,0.5503272986060165,0.582053653774936
vonenet_ff_stylized-ecoset,logistic,300,IC,0.5441071428571429,0.014023345193698926,0.5300837976634439,0.5581304880508419
vonenet_r_ecoset,NC,300,IC,0.6046428571428571,0.021032024110535757,0.5836108330323214,0.6256748812533929
vonenet_r_stylized-ecoset,KNN,300,IC,0.66125,0.020242129057557567,0.6410078709424425,0.6814921290575575
resnet50,SVM,150,IC,0.583452380952381,0.020273796857883792,0.5631785840944972,0.6037261778102647
resnet50_21k,NC,250,IC,0.7013690476190476,0.02326393388621333,0.6781051137328343,0.7246329815052609
cvcl,logistic,300,IC,0.5630357142857143,0.014183518242575426,0.5488521960431388,0.5772192325282898
clip_resnet,logistic,250,IC,0.741904761904762,0.020111626567818775,0.7217931353369432,0.7620163884725807
clip_vit,logistic,200,IC,0.8305952380952382,0.02029833568832001,0.8102969024069182,0.8508935737835581
convnext,Ridge,50,IC,0.6057142857142858,0.012761298517658837,0.5929529871966269,0.6184755842319446
vit,logistic,300,IC,0.5857738095238095,0.015354964917792039,0.5704188446060174,0.6011287744416016
vit_21k,logistic,200,IC,0.5827976190476191,0.01198733782919454,0.5708102812184245,0.5947849568768137
3yrold_fast,,,deleted,0.5425714858335268,0.07650254355098855,0.4660689422825382,0.6190740293845153
3yrold_slow,,,deleted,0.5792288239490075,0.05785177432325219,0.5213770496257554,0.6370805982722597
4yrold_fast,,,deleted,0.717093839705582,0.06133498831554759,0.6557588513900344,0.7784288280211297
4yrold_slow,,,deleted,0.8256392045454546,0.06358082613325024,0.7620583784122044,0.8892200306787048
5yrold_fast,,,deleted,0.6729469852258665,0.08131836862642247,0.591628616599444,0.754265353852289
5yrold_slow,,,deleted,0.7843875780932618,0.07124668485576498,0.7131408932374967,0.8556342629490268
adult_fast,,,deleted,0.9013112910481331,0.05161061548438186,0.8497006755637513,0.952921906532515
adult_slow,,,deleted,0.9680555555555556,0.03472132396498931,0.9333342315905663,1.002776879520545
