model,obj1,obj2,condition,train_acc,acc
convnext,airplane,apple,Pert,1.0,1.0
convnext,airplane,bike,Pert,1.0,0.95
convnext,airplane,chair,Pert,1.0,1.0
convnext,airplane,flower,Pert,1.0,1.0
convnext,airplane,fork,Pert,1.0,1.0
convnext,airplane,guitar,Pert,1.0,1.0
convnext,airplane,key,Pert,1.0,1.0
convnext,airplane,kite,Pert,1.0,1.0
convnext,airplane,lamp,Pert,1.0,1.0
convnext,airplane,leaf,Pert,1.0,1.0
convnext,airplane,spoon,Pert,1.0,1.0
convnext,airplane,tree,Pert,1.0,0.95
convnext,airplane,truck,Pert,1.0,1.0
convnext,airplane,umbrella,Pert,1.0,1.0
convnext,apple,airplane,Pert,1.0,1.0
convnext,apple,bike,Pert,1.0,0.75
convnext,apple,chair,Pert,1.0,1.0
convnext,apple,flower,Pert,1.0,0.85
convnext,apple,fork,Pert,1.0,1.0
convnext,apple,guitar,Pert,1.0,1.0
convnext,apple,key,Pert,1.0,0.9
convnext,apple,kite,Pert,1.0,1.0
convnext,apple,lamp,Pert,1.0,1.0
convnext,apple,leaf,Pert,1.0,1.0
convnext,apple,spoon,Pert,1.0,1.0
convnext,apple,tree,Pert,0.994,1.0
convnext,apple,truck,Pert,1.0,0.85
convnext,apple,umbrella,Pert,1.0,1.0
convnext,bike,airplane,Pert,1.0,0.95
convnext,bike,apple,Pert,1.0,0.85
convnext,bike,chair,Pert,1.0,0.75
convnext,bike,flower,Pert,1.0,0.7
convnext,bike,fork,Pert,1.0,1.0
convnext,bike,guitar,Pert,1.0,0.9
convnext,bike,key,Pert,1.0,0.5
convnext,bike,kite,Pert,1.0,0.55
convnext,bike,lamp,Pert,1.0,0.5
convnext,bike,leaf,Pert,1.0,0.65
convnext,bike,spoon,Pert,1.0,0.5
convnext,bike,tree,Pert,1.0,0.7
convnext,bike,truck,Pert,1.0,0.9
convnext,bike,umbrella,Pert,1.0,0.95
convnext,chair,airplane,Pert,1.0,1.0
convnext,chair,apple,Pert,1.0,1.0
convnext,chair,bike,Pert,1.0,0.95
convnext,chair,flower,Pert,1.0,1.0
convnext,chair,fork,Pert,1.0,1.0
convnext,chair,guitar,Pert,0.999,1.0
convnext,chair,key,Pert,1.0,0.85
convnext,chair,kite,Pert,1.0,1.0
convnext,chair,lamp,Pert,1.0,0.8
convnext,chair,leaf,Pert,1.0,0.95
convnext,chair,spoon,Pert,1.0,1.0
convnext,chair,tree,Pert,0.999,0.65
convnext,chair,truck,Pert,1.0,0.5
convnext,chair,umbrella,Pert,1.0,1.0
convnext,flower,airplane,Pert,1.0,1.0
convnext,flower,apple,Pert,1.0,1.0
convnext,flower,bike,Pert,1.0,0.65
convnext,flower,chair,Pert,0.999,1.0
convnext,flower,fork,Pert,1.0,1.0
convnext,flower,guitar,Pert,1.0,1.0
convnext,flower,key,Pert,1.0,1.0
convnext,flower,kite,Pert,1.0,1.0
convnext,flower,lamp,Pert,1.0,1.0
convnext,flower,leaf,Pert,1.0,0.5
convnext,flower,spoon,Pert,1.0,1.0
convnext,flower,tree,Pert,0.998,0.55
convnext,flower,truck,Pert,1.0,0.65
convnext,flower,umbrella,Pert,1.0,1.0
convnext,fork,airplane,Pert,1.0,1.0
convnext,fork,apple,Pert,1.0,1.0
convnext,fork,bike,Pert,1.0,1.0
convnext,fork,chair,Pert,1.0,1.0
convnext,fork,flower,Pert,1.0,1.0
convnext,fork,guitar,Pert,1.0,1.0
convnext,fork,key,Pert,1.0,1.0
convnext,fork,kite,Pert,1.0,1.0
convnext,fork,lamp,Pert,1.0,1.0
convnext,fork,leaf,Pert,1.0,1.0
convnext,fork,spoon,Pert,1.0,0.85
convnext,fork,tree,Pert,1.0,1.0
convnext,fork,truck,Pert,1.0,1.0
convnext,fork,umbrella,Pert,1.0,1.0
convnext,guitar,airplane,Pert,1.0,1.0
convnext,guitar,apple,Pert,1.0,1.0
convnext,guitar,bike,Pert,1.0,0.95
convnext,guitar,chair,Pert,0.999,1.0
convnext,guitar,flower,Pert,1.0,1.0
convnext,guitar,fork,Pert,1.0,1.0
convnext,guitar,key,Pert,1.0,0.5
convnext,guitar,kite,Pert,1.0,1.0
convnext,guitar,lamp,Pert,1.0,1.0
convnext,guitar,leaf,Pert,1.0,1.0
convnext,guitar,spoon,Pert,1.0,0.7
convnext,guitar,tree,Pert,1.0,1.0
