model,obj1,obj2,condition,train_acc,acc
voneresnet,airplane,apple,Outline,1.0,0.5333333333333333
voneresnet,airplane,bike,Outline,1.0,0.8333333333333334
voneresnet,airplane,chair,Outline,1.0,0.7
voneresnet,airplane,flower,Outline,1.0,0.43333333333333335
voneresnet,airplane,fork,Outline,1.0,0.5
voneresnet,airplane,guitar,Outline,1.0,0.7
voneresnet,airplane,key,Outline,1.0,0.5666666666666667
voneresnet,airplane,kite,Outline,1.0,0.6
voneresnet,airplane,lamp,Outline,1.0,0.5333333333333333
voneresnet,airplane,leaf,Outline,1.0,0.6666666666666666
voneresnet,airplane,spoon,Outline,1.0,0.5666666666666667
voneresnet,airplane,tree,Outline,1.0,0.6333333333333333
voneresnet,airplane,truck,Outline,1.0,0.7333333333333333
voneresnet,airplane,umbrella,Outline,1.0,0.7
voneresnet,apple,airplane,Outline,1.0,0.6333333333333333
voneresnet,apple,bike,Outline,1.0,0.5666666666666667
voneresnet,apple,chair,Outline,1.0,0.6
voneresnet,apple,flower,Outline,1.0,0.6333333333333333
voneresnet,apple,fork,Outline,1.0,0.6666666666666666
voneresnet,apple,guitar,Outline,1.0,0.4666666666666667
voneresnet,apple,key,Outline,1.0,0.5333333333333333
voneresnet,apple,kite,Outline,1.0,0.4666666666666667
voneresnet,apple,lamp,Outline,1.0,0.4666666666666667
voneresnet,apple,leaf,Outline,1.0,0.5333333333333333
voneresnet,apple,spoon,Outline,1.0,0.6
voneresnet,apple,tree,Outline,1.0,0.5333333333333333
voneresnet,apple,truck,Outline,1.0,0.6666666666666666
voneresnet,apple,umbrella,Outline,1.0,0.6
voneresnet,bike,airplane,Outline,1.0,0.5666666666666667
voneresnet,bike,apple,Outline,1.0,0.6333333333333333
voneresnet,bike,chair,Outline,1.0,0.4666666666666667
voneresnet,bike,flower,Outline,1.0,0.6
voneresnet,bike,fork,Outline,1.0,0.6
voneresnet,bike,guitar,Outline,1.0,0.6
voneresnet,bike,key,Outline,1.0,0.43333333333333335
voneresnet,bike,kite,Outline,1.0,0.6
voneresnet,bike,lamp,Outline,1.0,0.6
voneresnet,bike,leaf,Outline,1.0,0.5333333333333333
voneresnet,bike,spoon,Outline,1.0,0.6333333333333333
voneresnet,bike,tree,Outline,1.0,0.6666666666666666
voneresnet,bike,truck,Outline,1.0,0.5
voneresnet,bike,umbrella,Outline,1.0,0.4
voneresnet,chair,airplane,Outline,1.0,0.4
voneresnet,chair,apple,Outline,1.0,0.7
voneresnet,chair,bike,Outline,1.0,0.43333333333333335
voneresnet,chair,flower,Outline,1.0,0.6
voneresnet,chair,fork,Outline,1.0,0.7666666666666667
voneresnet,chair,guitar,Outline,1.0,0.4666666666666667
